sample_id,category,keyword,platform,product_name,price,spec,link,canonical_link,match_group,match_score,notes,data_source,fetch_method,region,currency,is_sponsored,price_per_unit,block_reason
AMZ-01,men's underwear / boxer briefs,men boxer briefs 4 pack,Amazon,"Southpole Boxer Briefs for Men Pack of 4 with 6"" Inseam - Brushed Polyester Contour Pouch Athletic Moisture Wicking Underwear",12.99,"4-pack; 6"" inseam; brushed polyester",https://www.amazon.com/Southpole-Boxer-Briefs-Pack-Inseam/dp/B0FY76177Q,https://www.amazon.com/Southpole-Boxer-Briefs-Pack-Inseam/dp/B0FY76177Q,g1_4pack_mens_boxer_briefs,88,"Organic listing; 4-pack confirmed in title; per-unit $3.25 shown on card",visible browser page,Playwright MCP,US,USD,false,3.25,
AMZ-02,men's underwear / boxer briefs,men boxer briefs 4 pack,Amazon,"DOCKERS Mens Stretch Boxer Brief Underwear Stretch Cotton Underwear 4 Pack",17.49,"4-pack; cotton stretch",https://www.amazon.com/Dockers-Cotton-Stretch-Briefs-Underwear/dp/B0BV887L7F,https://www.amazon.com/Dockers-Cotton-Stretch-Briefs-Underwear/dp/B0BV887L7F,g1_4pack_mens_boxer_briefs,86,"Organic listing; 4-pack confirmed in title; per-unit $4.37 shown on card",visible browser page,Playwright MCP,US,USD,false,4.37,
AMZ-03,men's underwear / boxer briefs,men boxer briefs 4 pack,Amazon,"PUMA Men's 4 Pack Active Stretch Boxer Briefs",20.97,"4-pack; active stretch",https://www.amazon.com/PUMA-Active-Stretch-Briefs-Medium/dp/B0CKX2D3M6,https://www.amazon.com/PUMA-Active-Stretch-Briefs-Medium/dp/B0CKX2D3M6,g1_4pack_mens_boxer_briefs,86,"Organic listing; 4-pack confirmed in title; per-unit $5.24 shown on card",visible browser page,Playwright MCP,US,USD,false,5.24,
AMZ-04,men's underwear / boxer briefs,men boxer briefs 4 pack,Amazon,"Gladbecke Mens Underwear Bamboo Rayon Breathable Boxer Briefs with Fly, No Riding Up & Moisture-Wicking Boxers for Men 4 pack",29.99,"4-pack; bamboo rayon; with fly",https://www.amazon.com/dp/B0G43RMWMV,https://www.amazon.com/dp/B0G43RMWMV,g1_4pack_mens_boxer_briefs,80,"Sponsored slot; 4-pack confirmed in title; list price shown as $49.99; original anchor pointed to sponsored redirect (/sspa/click), normalized to canonical /dp/ASIN URL",visible browser page,Playwright MCP,US,USD,true,7.50,
AMZ-05,men's underwear / boxer briefs,men boxer briefs 4 pack,Amazon,"Fruit of the Loom Men's Coolzone Boxer Briefs, Moisture Wicking & Breathable",35.99,"pack size unknown from card; per-unit $5.14 implies ~7-pack",https://www.amazon.com/Fruit-Loom-Coolzone-Pack-Assorted-4X-Large/dp/B08GZLFQVB,https://www.amazon.com/Fruit-Loom-Coolzone-Pack-Assorted-4X-Large/dp/B08GZLFQVB,g2_pack_unclear,45,"Organic listing returned for the ""4 pack"" query, but the visible card title does not state pack count. Per-unit math (35.99 / 5.14 ≈ 7) suggests this is a larger pack, not a 4-pack — weak comparison, not recommended for the 4-pack group. price_per_unit is platform-displayed, not computed.",visible browser page,Playwright MCP,US,USD,false,5.14,
HAUL-01,men's underwear / boxer briefs,men boxer briefs 4 pack,Amazon Haul,"Lands' End Mens Underwear 4 Pack Mens Boxer Briefs for Men Cotton Stretch",9.99,"4-pack; cotton stretch",https://www.amazon.com/Lands-End-Underwear-Briefs-Stretch/dp/B0G2TBPB58,https://www.amazon.com/Lands-End-Underwear-Briefs-Stretch/dp/B0G2TBPB58,g1_4pack_mens_boxer_briefs,88,"4-pack confirmed in title; lowest 4-pack price across both Amazon and Haul surfaces in this sample",visible browser page,Playwright MCP,US,USD,false,2.50,
HAUL-02,men's underwear / boxer briefs,men boxer briefs 4 pack,Amazon Haul,"Lands' End Mens Underwear 4 Pack Mens Boxer Briefs for Men Breathable Double Brushed Polyester",12.99,"4-pack; double brushed polyester",https://www.amazon.com/Lands-End-Underwear-Breathable-Polyester/dp/B0G2YSNLXB,https://www.amazon.com/Lands-End-Underwear-Breathable-Polyester/dp/B0G2YSNLXB,g1_4pack_mens_boxer_briefs,86,"4-pack confirmed in title; same brand as HAUL-01, different material",visible browser page,Playwright MCP,US,USD,false,3.25,
HAUL-03,men's underwear / boxer briefs,men boxer briefs 4 pack,Amazon Haul,"Nautica Men's 4 Pack Micro Boxer Briefs",18.63,"4-pack; micro",https://www.amazon.com/Nautica-Micro-Boxer-Peacoat-Anchor/dp/B096T5L1MX,https://www.amazon.com/Nautica-Micro-Boxer-Peacoat-Anchor/dp/B096T5L1MX,g1_4pack_mens_boxer_briefs,86,"4-pack confirmed in title; list price shown as $24.99",visible browser page,Playwright MCP,US,USD,false,4.66,
HAUL-04,men's underwear / boxer briefs,men boxer briefs 4 pack,Amazon Haul,"Frye Stretch Viscose Boxer Briefs for Men 4-Pack, Soft and Breathable Underwear for Men Pack of 4",17.99,"4-pack; viscose stretch",https://www.amazon.com/Frye-Briefs-Breathable-Underwear-X-Large/dp/B0DY9KLSQ1,https://www.amazon.com/Frye-Briefs-Breathable-Underwear-X-Large/dp/B0DY9KLSQ1,g1_4pack_mens_boxer_briefs,84,"4-pack stated twice in title (""4-Pack"" and ""Pack of 4"")",visible browser page,Playwright MCP,US,USD,false,4.50,
HAUL-05,men's underwear / boxer briefs,men boxer briefs 4 pack,Amazon Haul,"Billabong Mens Underwear 4 Pack Nylon Performance Boxer Briefs for Men",19.49,"4-pack; nylon performance",https://www.amazon.com/Billabong-Underwear-Microfiber-Performance-Briefs/dp/B0CV5YL5XT,https://www.amazon.com/Billabong-Underwear-Microfiber-Performance-Briefs/dp/B0CV5YL5XT,g1_4pack_mens_boxer_briefs,84,"4-pack confirmed in title; list price shown as $32.99",visible browser page,Playwright MCP,US,USD,false,4.87,
TEMU-BLOCKED-01,men's underwear / boxer briefs,men boxer briefs 4 pack,Temu,unknown,unknown,unknown,https://www.temu.com/search_result.html?search_key=men+boxer+briefs+4+pack,,blocked,,"BLOCKED. Direct search URL redirected to slide-puzzle CAPTCHA (https://www.temu.com/bgn_verification.html?...); homepage then redirected to forced login wall (https://www.temu.com/login.html). Per skill rules, did not bypass CAPTCHA or login. No candidates collected.",blocked,Playwright MCP,unknown,unknown,unknown,,"CAPTCHA (slide-puzzle /bgn_verification.html) + forced login wall (/login.html)"
TEMU-01,men's underwear / boxer briefs,men boxer briefs 4 pack,Temu,"4-Pack Men's Boxer Briefs - Polyester Comfort Stretch Underwear with Geometric Pattern, Casual Knit Fabric Shorties with Elastane for Flexibility - Breathable and Soft Athletic Fit - For Men - Suitable for Everyday Wear - Great Gift for Him",6.72,"4-pack; polyester / elastane (per title)",https://www.temu.com/4-pack-mens-boxer-briefs-polyester--underwear-with-geometric-pattern-casual-knit-fabric--with-elastane-for-flexibility-breathable-and-soft-athletic-fit-g-601099645709763.html,https://www.temu.com/4-pack-mens-boxer-briefs-polyester--underwear-with-geometric-pattern-casual-knit-fabric--with-elastane-for-flexibility-breathable-and-soft-athletic-fit-g-601099645709763.html,g1_4pack_mens_boxer_briefs,84,"Sponsored (""AD"" label on card); 4-pack confirmed in title; original/list price shown $36.63; 36K+ sold; 4.8 rating; collected after manual login of persistent profile",visible browser page,Playwright MCP,US,USD,true,1.68,
TEMU-02,men's underwear / boxer briefs,men boxer briefs 4 pack,Temu,"4-Pack Deer Head Print Boxer Briefs for Men, Comfortable and Breathable Men's Underwear",7.83,"4-pack; Deer Head print (per title)",https://www.temu.com/4-pack-mens-boxer-briefs-with-deer-head-print-soft-breathable--stretch-fabric-multi-color-options-navy-gray-black-white-machine-washable-underwear-for-everyday--boxer-shorts-able-undergarments-animal-pattern-stretchy-material-multipack-undergarments--g-601101421111833.html,https://www.temu.com/4-pack-mens-boxer-briefs-with-deer-head-print-soft-breathable--stretch-fabric-multi-color-options-navy-gray-black-white-machine-washable-underwear-for-everyday--boxer-shorts-able-undergarments-animal-pattern-stretchy-material-multipack-undergarments--g-601101421111833.html,g1_4pack_mens_boxer_briefs,86,"Organic listing; 4-pack confirmed in title; original/list price $14.33; 99K+ sold; 4.8 rating",visible browser page,Playwright MCP,US,USD,false,1.96,
TEMU-03,men's underwear / boxer briefs,men boxer briefs 4 pack,Temu,"10/4pcs Men'S Boxer Briefs - Elastic Underwear Shorts, Soft Knit Fabric for Daily and Gym Use - Multi-Color Set - Breathable Quick-Dry Plain Pouch, Suitable for Casual & Formal Occasions, Comfortable Clothing, Active Lifestyle, Modern Undergarments",7.24,"pack ambiguous (10/4pcs variant selector in title); soft knit fabric (per title)",https://www.temu.com/10-4pcs-mens-boxer-briefs-elastic-underwear-shorts-soft-knit-fabric-for-daily-and-gym-use-multi-color-set-breathable-quick-dry-plain-pouch-suitable-for-casual-formal-occasions-comfortable-clothing--modern-undergarments-g-601101205146124.html,https://www.temu.com/10-4pcs-mens-boxer-briefs-elastic-underwear-shorts-soft-knit-fabric-for-daily-and-gym-use-multi-color-set-breathable-quick-dry-plain-pouch-suitable-for-casual-formal-occasions-comfortable-clothing--modern-undergarments-g-601101205146124.html,g2_pack_unclear,45,"Sponsored (""AD"" label on card); title states ""10/4pcs"" variant selector — could be 4-pack or 10-pack depending on chosen variant; original/list price not visibly shown on card; 9.8K+ sold; 4.6 rating; weak comparison for the 4-pack group, per-unit not computable without selecting variant",visible browser page,Playwright MCP,US,USD,true,,
TEMU-04,men's underwear / boxer briefs,men boxer briefs 4 pack,Temu,"4pcs Men's Boxer Briefs, Four-Way Stretch Lined Style, Printed, Comfortable, Sweat-Absorbent, Plus Size, Breathable Boxer Trunks for Teens, Athletic Wear",7.62,"4pcs (=4-pack); four-way stretch (per title)",https://www.temu.com/4pcs-mens-breathable-boxer-briefs--fit-sweat-wicking-stretchy-polyester-spandex-blend-non-transparent-with-trendy-letter-print-design--stretch-large-size-youth-g-601099757364479.html,https://www.temu.com/4pcs-mens-breathable-boxer-briefs--fit-sweat-wicking-stretchy-polyester-spandex-blend-non-transparent-with-trendy-letter-print-design--stretch-large-size-youth-g-601099757364479.html,g1_4pack_mens_boxer_briefs,82,"Sponsored (""AD"" label on card); 4pcs in title; original/list price $16.39; 26K+ sold; 4.9 rating",visible browser page,Playwright MCP,US,USD,true,1.91,
TEMU-05,men's underwear / boxer briefs,men boxer briefs 4 pack,Temu,"4-Pack Men's Boxer Briefs Underwear - Breathable Soft Comfortable Boxers, Solid Color Shortie Briefs with Plain Front/Back, Casual Sporty No for Gym, Casual Attire - Non- & Hand Washable (4 Count)",4.81,"4-pack (also ""4 Count"" in title); solid color (per title)",https://www.temu.com/4-pack-mens-boxer-briefs-underwear-breathable-soft-comfortable-boxers-solid-color--briefs-with-plain-front-back-casual-sporty-no-for-gym-casual-attire-non-hand-washable-4-count-g-601100557728731.html,https://www.temu.com/4-pack-mens-boxer-briefs-underwear-breathable-soft-comfortable-boxers-solid-color--briefs-with-plain-front-back-casual-sporty-no-for-gym-casual-attire-non-hand-washable-4-count-g-601100557728731.html,g1_4pack_mens_boxer_briefs,88,"Organic listing; 4-pack confirmed twice in title (""4-Pack"" and ""(4 Count)""); original/list price $7.49; 5.9K+ sold; 4.7 rating; lowest Temu 4-pack price in this sample",visible browser page,Playwright MCP,US,USD,false,1.20,
