sample_id,category,keyword,platform,product_name,price,spec,link,canonical_link,match_group,match_score,notes,data_source,fetch_method,region,currency,is_sponsored,price_per_unit,block_reason
AMZ-01,pet supplies / dog rope toy,dog toy rope,Amazon,"Fida Dog Rope Toys 4 Pack, Puppy Teething Sturdy Cotton Chew Tug Ropes Indoor/Outdoor, Exercise Interactive Tug O'War Toys Set for Boredom Small-Meidum Dogs",14.99,"4-pack; cotton chew/tug rope set; small-medium dogs; cotton",https://www.amazon.com/dp/B0DXTRV77B,https://www.amazon.com/dp/B0DXTRV77B,g1_rope_multipack_set,86,"Sponsored slot; original anchor was an /sspa/click redirect with tracking tokens, normalized to canonical /dp/ASIN; 4-pack stated in title; per-unit 14.99/4",visible browser page,Playwright MCP,US,USD,true,3.75,
AMZ-02,pet supplies / dog rope toy,dog toy rope,Amazon,"Pacific Pups Products Dog Rope Toys for Medium Dogs 11 Pack - 11 Dog Toy Pack & Puppy Teething Rope Tug of War Dog Toys, Chew Toys to Keep Them Busy, Puppy Chew Ropes",22.99,"11-pack; rope tug/chew set; medium dogs; material not stated on card",https://www.amazon.com/dp/B071JMC5M4,https://www.amazon.com/dp/B071JMC5M4,g1_rope_multipack_set,84,"Sponsored slot; /sspa/click redirect normalized to /dp/ASIN; 11-pack stated in title; much larger set than other g1 rows, price comparable but per-unit differs; per-unit 22.99/11",visible browser page,Playwright MCP,US,USD,true,2.09,
AMZ-03,pet supplies / dog rope toy,dog toy rope,Amazon,"Mammoth Flossy Chews Color Rope Tug – Premium Cotton-Poly Tug Toy for Dogs – Interactive Rope– Dog Chew Toy, Assorted colors",5.98,"single rope tug (count not shown on card); cotton-poly blend; size-variant listing (8 sizes, specific size not selected); tug type",https://www.amazon.com/dp/B0017JAOFO,https://www.amazon.com/dp/B0017JAOFO,g3_single_rope_tug,70,"Organic (""Overall Pick""); card title states no pack count and listing is a size-variant; treated as single rope tug; per-unit = displayed price (single item)",visible browser page,Playwright MCP,US,USD,false,5.98,
AMZ-04,pet supplies / dog rope toy,dog toy rope,Amazon,"TLAZZ 2 Pack Dog Rope Toys for Medium Large Breed, Nearly Indestructible Dog Chew Toys for Aggressive Chewers, Teeth Cleaning Chew Toys, Dog Tug Toy for Boredom, Dog Rope Toy for Aggressive Chewers",9.99,"2-pack; rope chew/tug, nearly indestructible; medium-large breed; material not stated on card",https://www.amazon.com/dp/B0D4HC1TC7,https://www.amazon.com/dp/B0D4HC1TC7,g2_rope_small_multipack,88,"Organic listing; 2-pack stated in title; card showed $5.00/count consistent with 9.99/2; also appears on Amazon Haul (same ASIN) — see HAUL note, not double-counted in group logic",visible browser page,Playwright MCP,US,USD,false,5.00,
AMZ-05,pet supplies / dog rope toy,dog toy rope,Amazon,"Feeko Heavy Duty Dog Rope Toys for Large Breed Aggressive Chewers, 2 Pack Indestructible Teeth Cleaning Tug of War Toy",12.99,"2-pack; rope tug/chew, heavy duty; large breed; material not stated on card",https://www.amazon.com/dp/B08TLM91CK,https://www.amazon.com/dp/B08TLM91CK,g2_rope_small_multipack,88,"Organic listing; 2-pack stated in title; card showed $12.99/count (Amazon defines ""count"" as the pack as sold); per-unit computed as 12.99/2",visible browser page,Playwright MCP,US,USD,false,6.50,
HAUL-01,pet supplies / dog rope toy,dog toy rope,Amazon Haul,"Rocfish [4 Pack] Dog Rope Toys for Aggressive Chewers, Nearly Indestructible Tug of War Toys for Large & Medium Dogs, 100% Cotton, Teeth Cleaning Chew Rope, Heavy Duty Tug of War Dog Toy for Boredom",13.98,"4-pack; tug-of-war/chew rope, nearly indestructible; large & medium dogs; 100% cotton",https://www.amazon.com/dp/B0F1SSH2PD,https://www.amazon.com/dp/B0F1SSH2PD,g1_rope_multipack_set,88,"Amazon Haul scoped search (srs=121974693011&i=bazaar); organic; 4-pack stated in title; link derived from page data-asin (Haul tile exposes no standalone anchor); per-unit 13.98/4",visible browser page,Playwright MCP,US,USD,false,3.50,
HAUL-02,pet supplies / dog rope toy,dog toy rope,Amazon Haul,"SunGrow Giraffe Cotton Knot Puppy & Ferret Ropes, Handwoven Chew Items for Small Breeds Dog, for Teeth and Gums, 2 Pieces per Pack",5.99,"2 pieces per pack; handwoven cotton knot chew rope; small breeds; cotton",https://www.amazon.com/dp/B06X9BM5RX,https://www.amazon.com/dp/B06X9BM5RX,g2_rope_small_multipack,86,"Amazon Haul scoped search; organic; ""2 Pieces per Pack"" stated in title; card showed -14% from $6.95; per-unit 5.99/2",visible browser page,Playwright MCP,US,USD,false,3.00,
HAUL-03,pet supplies / dog rope toy,dog toy rope,Amazon Haul,"Tough Dog Rope Toys for Aggressive Chewers, Tough Tug of War Dog Toys for Large, Medium & Small Dogs – 5 Pack Including 2 Ropes & 3 Supplies",9.99,"""5 Pack"" = 2 ropes + 3 non-rope supplies (rope count = 2); tug-of-war rope bundle; large/medium/small dogs; material not stated on card",https://www.amazon.com/dp/B0DDL8F26V,https://www.amazon.com/dp/B0DDL8F26V,g_pack_unclear,50,"Amazon Haul scoped search; organic; title says ""5 Pack"" but only 2 of the 5 items are ropes (3 are supplies) — rope quantity not cleanly comparable; per-unit left blank (mixed bundle, not computable)",visible browser page,Playwright MCP,US,USD,false,,
HAUL-04,pet supplies / dog rope toy,dog toy rope,Amazon Haul,"Barida Natural White Cotton Tough Dog Rope Toy for Medium & Large Dogs. Non Toxic and Premium Rope Toys for Dogs.",13.99,"single (1); tough cotton rope tug/chew; medium & large dogs; natural white cotton, non-toxic",https://www.amazon.com/dp/B0B2FGWGTC,https://www.amazon.com/dp/B0B2FGWGTC,g3_single_rope_tug,80,"Amazon Haul scoped search; organic; no pack count in title (single rope toy); card showed -7% from $14.99; per-unit = displayed price (single item)",visible browser page,Playwright MCP,US,USD,false,13.99,
HAUL-05,pet supplies / dog rope toy,dog toy rope,Amazon Haul,"Tri-Color Cotton Rope Dog Toy, Hand-Woven Triple Ring Chew Toy, Durable Knotted Rope for Teething, Training & Interactive Play for Small and Medium Dogs (Pink-Yellow-Light Blue)",4.40,"single (1); hand-woven triple-ring knotted cotton rope; small & medium dogs; cotton",https://www.amazon.com/dp/B0G395Z6NP,https://www.amazon.com/dp/B0G395Z6NP,g3_single_rope_tug,80,"Amazon Haul scoped search; organic; single rope toy (no pack count in title); card showed ""Only 10 left""; per-unit = displayed price (single item)",visible browser page,Playwright MCP,US,USD,false,4.40,
